Ind;Sumatoria;promedio_compañeros;multiplicacion;saber11_red;rendimiento_actual;multiplicacion_promedio;rendimiento_red;saber_individual;Genero;Estrato;edad2016;programa;pilopaga;ciudad_colegio_agrupado;nota5;nota3
X31;0;65.68333;0;0;3.244444;0;0;66.6;1;3;18;1;0;1;1;1
X32;9;55.09091;498.68551;55.40950111;3.944444;34.101961;3.789106778;74.6;1;2;18;1;1;1;4;2
X33;7;74.52857;444.13148;63.44735429;4.288889;26.865279;3.837897;73.2;1;2;16;1;1;0;5;3
X34;6;68.98438;371.76024;61.96004;4.2875;23.711112;3.951852;66.8;1;3;18;1;0;1;5;3
X35;2;61.28602;126.05184;63.02592;3.688889;7.066666;3.533333;69.6;1;4;19;1;0;1;3;2
X36;0;72.87317;0;0;3.9;0;0;73.4;1;4;18;1;0;1;3;2
X37;3;67.84202;190.95662;63.65220667;3.455555;10.81111;3.603703333;57.6;1;3;17;1;0;2;2;1
X38;10;55.12222;607.83615;60.783615;3.744444;40.349207;4.0349207;65.2;0;2;18;1;1;0;3;2
X39;22;72.15082;1424.93677;64.76985318;4.811111;88.020542;4.000933727;72.6;1;5;18;1;0;1;5;3
X40;5;79.30066;376.12106;75.224212;4.144444;22.688889;4.5377778;88.6;1;4;18;1;0;1;4;3
X41;8;67.41584;572.14375;71.51796875;4.2;33.055555;4.131944375;70.2;1;4;18;1;0;1;4;3
X42;5;57.50045;353.5816;70.71632;3.233333;18.588888;3.7177776;62.8;1;4;19;1;0;1;1;1
X43;6;65.31538;376.79321;62.79886833;4.066667;23.743137;3.9571895;72.8;0;3;17;1;0;1;4;3
X44;2;60.64951;122.52025;61.260125;3.844445;8.211111;4.1055555;77;1;3;17;1;0;1;3;2
X45;1;67.75448;67.84202;67.84202;3.422222;3.455555;3.455555;70.4;1;4;17;1;0;1;2;1
X46;11;69.94;731.30995;66.48272273;4.344444;45.255555;4.114141364;71;1;5;17;1;0;0;5;3
X47;6;77.89744;411.48754;68.58125667;4.777778;24.266665;4.044444167;91;0;5;18;1;0;1;5;3
X48;25;67.74783;1508.61075;60.34443;3.922222;91.7555529;3.670222116;72;1;3;17;1;0;1;4;2
X49;2;65.93425;117.78121;58.890605;2.655555;6.666666;3.333333;77.4;1;3;18;1;0;1;1;1
X50;23;65.70834;1453.19571;63.18242217;3.655555;90.733332;3.944927478;62.6;1;4;18;1;0;1;3;2
X51;4;67.4;253.1077;63.276925;3.677778;16.244444;4.061111;64.6;0;3;17;1;0;0;3;2
X52;12;48.45161;715.51388;59.62615667;4.388889;46.425397;3.868783083;70.6;0;2;18;1;1;1;5;3
X53;11;48.9541;641.38809;58.30800818;3.477778;42.298038;3.845276182;66.2;0;1;17;1;1;0;2;1
X54;11;80.07727;707.97896;64.36172364;4.2;43.218954;3.928995818;78.8;1;4;17;1;0;1;4;3
X55;0;66.01507;0;0;4.2;0;0;66;0;3;18;1;0;1;4;3
X56;6;66.56;359.66069;59.94344833;4.477778;25.571896;4.261982667;77.8;1;4;19;1;0;1;5;3
X57;13;72.60231;881.88545;67.83734231;4.8;53.733332;4.133333231;73.4;0;3;18;1;0;1;5;3
X58;16;63.96667;1056.54001;66.03375063;3.588889;65.522221;4.095138813;64.2;0;3;18;1;0;2;2;2
X59;24;51.83725;1494.02759;62.25114958;3.633333;91.0777759;3.794907329;62.6;0;3;18;1;0;1;3;2
X60;0;0;0;0;0.5888889;0;0;54.25;1;5;21;1;0;1;1;1
X61;0;67.18473;0;0;3.911111;0;0;72.2;0;2;18;1;1;0;4;2
X62;5;60.51429;329.6347;65.92694;4.366667;21.666667;4.3333334;61.6;1;6;17;1;0;0;5;3
X63;6;68.625;316.77551;52.79591833;3.811111;25.211112;4.201852;63.2;0;4;18;1;0;1;3;2
X64;4;72.87805;252.35044;63.08761;3.888889;15.277778;3.8194445;73.2;1;4;17;1;0;1;3;2
X65;3;62.86813;202.89747;67.63249;4.011111;12.833334;4.277778;64.8;1;3;17;1;0;1;4;2
X66;8;56.9978;504.56304;63.07038;4.2;34.425397;4.303174625;69;0;3;17;1;1;0;4;3
